LTL Formula,Ground Truth
(H (!(((FALSE  |  FALSE)  &  (TRUE  S  seqabyku))))  S  (!(O (X (cykijemuvo)))  S  (((vyjusa  <->  lizuhybori)  <->  Y (pikoho))  U  G (G (FALSE))))),Yes
H (Y (((girikola  S  tyzezi)  |  H (FALSE)))),Yes
!(!((TRUE  |  TRUE))),Yes
sukojeboko,Yes
(H (F ((ximada  |  hilyfurapo)))  ->  H (H (!(TRUE)))),Yes
xituna,Yes
((O (((hejadebe  S  FALSE)  |  !(TRUE)))  <->  ((O (siqujihujy)  <->  (zosyka  <->  FALSE))  S  (X (fiwiqeju)  ->  !(kuhaqavuhu))))  U  (((H (TRUE)  <->  H (niqigahy))  &  F (F (cubuho)))  |  (((miwidurogu  |  FALSE)  U  (kyzobitu  &  FALSE))  S  !((tyhamobuno  U  mysosi))))),Yes
(H ((H ((zabehibu  U  debibuxejy))  |  G (G (TRUE))))  <->  (Y (O (G (xofasuku)))  U  H (((TRUE  <->  juvudexi)  &  (suwofeburo  U  FALSE))))),Yes
X (!(X (vitegafinu))),Yes
((O (F (FALSE))  S  O (H (TRUE)))  <->  O ((O (FALSE)  S  H (guzejo)))),Yes
F ((vepuhywady  <->  TRUE)),Yes
(X ((F (FALSE)  U  G (FALSE)))  &  ((H (TRUE)  |  G (TRUE))  |  (Y (FALSE)  |  X (TRUE)))),Yes
qehenu,Yes
TRUE,Yes
!(F (((pihobomi  ->  TRUE)  <->  H (wyzipo)))),Yes
Y ((H (X (TRUE))  |  (F (sapesy)  |  (sifuredeqe  U  mavusi)))),Yes
TRUE,Yes
nexaqohixa,Yes
FALSE,Yes
F (O (nojykogu)),Yes
(raqaho  U  bacari),Yes
(!(cilotyqoku)  |  (bipenipo  ->  FALSE)),Yes
Y (!(O (Y (((cyxofodi  S  xogupavobi)  &  (ririheqi  U  TRUE)))))),Yes
X (H (Y (xocixy))),Yes
F ((F (Y (TRUE))  &  H (!(FALSE)))),Yes
((X (fegeno)  S  (holiceteru  S  FALSE))  <->  (G (foxaryquhy)  U  (TRUE  ->  TRUE))),Yes
O (Y (Y (H ((FALSE  U  FALSE))))),Yes
(((pizuputexy  U  FALSE)  &  Y (zybiha))  |  O ((TRUE  &  TRUE))),Yes
G ((vyjufuhiby  U  lanaguju)),Yes
panaciwi,Yes
X (H (X (O (wykepokyro)))),Yes
(((H (xelecacy)  ->  (qiqyvu  ->  FALSE))  ->  X ((cydohyke  <->  TRUE)))  |  !(X ((vazomy  |  nobyxuxu)))),Yes
H (H (((TRUE  S  vypefu)  U  G (wocyhemyvu)))),Yes
(!((FALSE  U  FALSE))  <->  O ((TRUE  &  femyxehe))),Yes
X (Y (G (H (zamuke)))),Yes
(F ((O (X (F (FALSE)))  ->  (O (Y (FALSE))  ->  ((xezabohopi  U  zinutyru)  <->  !(leligegege)))))  S  (Y (Y ((O (japetu)  |  G (redytupe))))  <->  ((F (!(FALSE))  ->  ((FALSE  <->  rorafy)  <->  (cozeni  U  zanovy)))  S  Y (((FALSE  S  FALSE)  &  (detatejito  S  savusere)))))),Yes
(G (G (Y ((FALSE  &  sytifevu))))  |  G ((G (H (FALSE))  &  Y ((muherykume  &  cysamoje))))),Yes
!((!((qafini  ->  FALSE))  ->  (!(zihoma)  U  (FALSE  S  qymagi)))),Yes
((TRUE  |  TRUE)  S  (xyrahiture  |  FALSE)),Yes
!(((morabovyne  U  hokynola)  U  H (gifaqepo))),Yes
((FALSE  U  vozyjole)  U  (TRUE  U  FALSE)),Yes
(X (TRUE)  |  O (FALSE)),Yes
(!((!((TRUE  <->  kegocaha))  &  G ((qiguhufa  &  doxasotyju))))  &  (Y (((lubiwo  U  fujuxihe)  |  Y (cinazuxe)))  <->  (Y (H (FALSE))  &  F (Y (nilasose))))),Yes
(rupofu  <->  TRUE),Yes
!(Y ((G (X (F (jabezufi)))  S  (((FALSE  <->  FALSE)  U  Y (codivyvude))  S  !((xuwiza  U  FALSE)))))),Yes
(((TRUE  ->  vojebuwy)  |  !(TRUE))  &  (X (hypegakeju)  &  (qifigo  S  kevycoxusy))),Yes
H ((TRUE  U  FALSE)),Yes
(hataqy  ->  hugena),Yes
O (Y ((byzevy  <->  varedige))),Yes
(O ((F (nizakuxi)  <->  (zuzacily  U  TRUE)))  |  (X (X (henytome))  ->  ((TRUE  S  pywavylaly)  U  Y (gesovowuzi)))),Yes
gomikovi,Yes
O (sivacodi),Yes
!(bojopawe),Yes
F (O (FALSE)),Yes
Y (Y (G (Y ((vinitu  S  fafifemi))))),Yes
X (O ((F (H ((zepudy  S  TRUE)))  &  (H (Y (TRUE))  U  F (X (FALSE)))))),Yes
FALSE,Yes
(H (zisabi)  U  H (TRUE)),Yes
(((FALSE  S  jequfi)  &  !(TRUE))  ->  G ((setezusema  U  risylilu))),Yes
X (G (H (TRUE))),Yes
((Y (((daduji  &  hugecejowe)  <->  (FALSE  S  tipyxoli)))  S  (!(X (mifavudeka))  ->  Y (H (TRUE))))  &  H (F (!(!(mulequtose))))),Yes
G (((FALSE  ->  byxyti)  U  Y (TRUE))),Yes
fygekitaja,Yes
H ((O ((towuwijo  S  FALSE))  |  G ((FALSE  &  TRUE)))),Yes
((H (X (F ((TRUE  S  vazowaqo))))  |  F (Y (((sadorahi  |  TRUE)  ->  (FALSE  <->  FALSE)))))  &  G ((((!(wevusiwa)  ->  O (dusoqeraca))  |  (!(FALSE)  S  Y (hilewa)))  <->  O (G (!(FALSE)))))),Yes
(((!((!(TRUE)  &  O (xeleke)))  |  Y (X (O (wicewenery))))  <->  H (H (G (Y (dynagy)))))  U  X (X (F (!(Y (FALSE)))))),Yes
!((sufivequ  U  FALSE)),Yes
F ((TRUE  ->  FALSE)),Yes
vikudijuqe,Yes
H (O (dosemy)),Yes
!(TRUE),Yes
(FALSE  U  bevero),Yes
((G ((TRUE  <->  TRUE))  |  X ((hezesy  S  TRUE)))  S  (X ((FALSE  &  TRUE))  &  ((jamomymi  &  povulexu)  |  Y (mahuwy)))),Yes
O ((F ((jidumofabu  S  FALSE))  S  ((gahemuxi  S  TRUE)  |  Y (FALSE)))),Yes
O ((TRUE  S  mewahywy)),Yes
((Y (O (H ((FALSE  S  TRUE))))  S  G (!(F (O (giqipini)))))  <->  (Y ((O (H (jywago))  ->  (H (FALSE)  <->  (FALSE  S  zuzyla))))  S  (O (H (F (pohygi)))  U  (((TRUE  U  FALSE)  |  H (FALSE))  |  !(O (TRUE)))))),Yes
(volerycajo  |  FALSE),Yes
O (G (TRUE)),Yes
vyzomycu,Yes
xakyry,Yes
(F (Y (Y ((pipajato  |  rixypo))))  U  H ((X (!(FALSE))  &  Y (!(posyzany))))),Yes
H ((O (!(TRUE))  &  ((zobega  ->  ruzyciju)  |  (FALSE  ->  TRUE)))),Yes
dohicyfi,Yes
TRUE,Yes
G (Y (TRUE)),Yes
X (cukaleturi),Yes
(((G ((Y (hekajiba)  &  H (FALSE)))  &  (G (X (sedara))  <->  (O (TRUE)  <->  (FALSE  &  FALSE))))  ->  G (G ((Y (kymiwywy)  S  (FALSE  S  hozymywi)))))  |  (((((TRUE  <->  TRUE)  U  Y (TRUE))  ->  ((TRUE  &  qizucury)  <->  O (FALSE)))  U  (O ((FALSE  |  mubije))  U  !((FALSE  U  bonihe))))  &  F (G ((X (TRUE)  <->  G (FALSE)))))),Yes
FALSE,Yes
FALSE,Yes
X (!(((TRUE  <->  besafega)  U  G (FALSE)))),Yes
X (G ((TRUE  &  nebuxy))),Yes
FALSE,Yes
G ((O ((FALSE  <->  joruqivo))  S  X ((FALSE  S  FALSE)))),Yes
X (qudiva),Yes
((!((kynuhu  S  TRUE))  S  G (X (dobawigaqe)))  S  O (X ((TRUE  ->  TRUE)))),Yes
Y (X (X (((FALSE  U  rovekeluru)  &  (nocoqawyha  U  FALSE))))),Yes
G (G (rasovu)),Yes
O (TRUE),Yes
!(vynoduha),Yes
(TRUE  &  FALSE),Yes
(TRUE  <->  nylupozi),Yes
F (X (((F ((TRUE  S  TRUE))  <->  G (!(pabiti)))  S  ((!(zilaby)  S  !(FALSE))  &  ((vegovefujo  S  bykiwe)  U  F (FALSE)))))),Yes
G ((F (zelypi)  &  F (lebasucavu))),Yes
F (G (Y ((kisure  ->  pilabi)))),Yes
(G (kotexo)  <->  (rumyzuxo  <->  TRUE)),Yes
(O (Y (TRUE))  |  (O (TRUE)  &  (nyjezuxy  |  higucago))),Yes
((ponucedufa  &  rytefyvyka)  &  F (cexyho)),Yes
(TRUE  S  guhikibepu),Yes
(mekefugu  S  cynigymo),Yes
G (lezehy),Yes
((qatizu  S  taxyni)  <->  G (bakuheci)),Yes
G (FALSE),Yes
(FALSE  |  misynoxa),Yes
(!(Y (X (!(mukuku))))  &  X (X ((Y (busyri)  S  Y (FALSE))))),Yes
(F ((X (jexoxoma)  ->  Y (lyxywogacy)))  <->  Y (H ((FALSE  &  FALSE)))),Yes
H (F (((X (FALSE)  S  (hosohotivu  U  tewoheke))  &  G ((zehyce  ->  FALSE))))),Yes
X (),No
(  S  !(TRUE)),No
X (TRUE),No
(G (TRUE)  U  ),No
(  U  ),No
((((TRUE  <->  FALSE)  S  TRUE)  U  )  U  ),No
H ((((((TRUE  |  FALSE)  <->  TRUE)  &  H (X (FALSE)))  <->  FALSE)  U  X (((((TRUE  ->  FALSE)  S  TRUE)  &  TRUE)  ->  Y (O (FALSE)))))),No
((H ((((!(TRUE)  U  )  &  FALSE)  U  X ((j  S  TRUE))))  S  )  |  ),No
((TRUE  |  FALSE)  S  TRUE),No
G (((w  U  TRUE)  ->  F (TRUE))),No
(((  <->  TRUE)  &  Y (F (FALSE)))  ->  ),No
((((p  S  TRUE)  &  )  |  TRUE)  &  H (H (FALSE))),No
G ((((  U  (!(TRUE)  |  ))  <->  FALSE)  S  H ((TRUE  ->  FALSE)))),No
(!(TRUE)  ->  ),No
(  U  (!(TRUE)  S  )),No
(((i  U  TRUE)  ->  TRUE)  &  O (F (FALSE))),No
((X (X ((((Y (TRUE)  &  TRUE)  <->  Y (F (FALSE)))  |  H ())))  &  (H ()  S  FALSE))  U  ),No
(g  U  TRUE),No
(  U  G ((((H (TRUE)  U  )  ->  FALSE)  S  H ((TRUE  ->  FALSE))))),No
(((((  S  !(TRUE))  &  TRUE)  &  Y (H (FALSE)))  |  TRUE)  &  H (F (FALSE))),No
(l  U  TRUE),No
((((((G ((TRUE  S  FALSE))  U  )  U  )  ->  TRUE)  <->  Y (G (FALSE)))  ->  TRUE)  U  X (((  S  (!(TRUE)  <->  ))  <->  ))),No
ERROR: Formula not generated,No
(G ((!(TRUE)  U  ))  &  (X (TRUE)  U  FALSE)),No
(p  S  TRUE),No
(!(TRUE)  ->  ),No
(  S  (TRUE  &  FALSE)),No
(((!(TRUE)  |  TRUE)  ->  O (O (FALSE)))  |  ),No
H (((X (((F ((  &  (z  S  TRUE)))  <->  FALSE)  U  Y ()))  |  FALSE)  U  F ((TRUE  ->  FALSE)))),No
(F (TRUE)  U  ),No
((  U  F (TRUE))  U  ),No
(((  ->  TRUE)  ->  O (H (FALSE)))  <->  ),No
(F (((  <->  TRUE)  <->  O (H (FALSE))))  <->  (Y (TRUE)  U  FALSE)),No
(((g  S  TRUE)  S  )  U  ),No
(F ((TRUE  U  FALSE))  U  ),No
F (),No
((((Y (TRUE)  ->  FALSE)  U  )  <->  TRUE)  |  O (X (FALSE))),No
(  S  H (((G ()  &  FALSE)  S  H (((((X ((!(TRUE)  &  ))  |  TRUE)  S  X ((!(TRUE)  U  )))  |  TRUE)  |  G (F (FALSE))))))),No
(((  U  (((TRUE  |  FALSE)  &  )  U  ))  ->  TRUE)  |  G (F (FALSE))),No
(((((  U  )  <->  TRUE)  &  Y (X (FALSE)))  |  TRUE)  S  G ((  S  ))),No
((((  U  (!(TRUE)  |  ))  <->  )  <->  TRUE)  ->  F (Y (FALSE))),No
F ((((!(TRUE)  |  TRUE)  <->  X (H (FALSE)))  ->  ((((F ((  S  ))  |  ((b  U  TRUE)  S  FALSE))  &  TRUE)  |  Y (H (FALSE)))  <->  ))),No
(((TRUE  &  FALSE)  |  )  S  ),No
(((c  S  TRUE)  ->  )  U  ),No
(O (F ())  <->  (Y (TRUE)  U  FALSE)),No
Y (),No
((G (TRUE)  &  TRUE)  S  H (!(TRUE))),No
((((((((i  U  TRUE)  |  TRUE)  &  X (F (FALSE)))  U  )  <->  TRUE)  &  F (O (FALSE)))  |  TRUE)  &  G (H (FALSE))),No
((TRUE  ->  FALSE)  <->  ),No
((!(TRUE)  |  )  S  ),No
(Y ((((!(TRUE)  ->  )  &  FALSE)  U  F ((TRUE  &  FALSE))))  <->  ),No
X (),No
(Y ()  &  ),No
(TRUE  <->  FALSE),No
((TRUE  |  FALSE)  &  ),No
(((((r  U  TRUE)  &  TRUE)  &  Y (F (FALSE)))  |  TRUE)  &  Y (X (FALSE))),No
F ((((TRUE  |  FALSE)  U  )  |  O (TRUE))),No
(F ()  U  ),No
G (((  S  )  |  )),No
(((  S  !(TRUE))  |  TRUE)  S  Y (G (TRUE))),No
((((X (TRUE)  ->  TRUE)  ->  X (F (FALSE)))  <->  TRUE)  <->  O (G (FALSE))),No
ERROR: Formula not generated,No
(((!(TRUE)  &  )  <->  TRUE)  U  O ((TRUE  |  FALSE))),No
((H (TRUE)  ->  TRUE)  <->  X (G (FALSE))),No
((O ()  |  )  <->  ),No
H ((((f  U  TRUE)  &  FALSE)  U  G ((v  U  TRUE)))),No
H (TRUE),No
X ((F ()  |  H ())),No
(!(TRUE)  &  ),No
Y (((O ()  |  FALSE)  S  F ())),No
((!(TRUE)  &  TRUE)  <->  H (F (FALSE))),No
F (),No
((((((o  U  TRUE)  U  )  <->  TRUE)  |  H (X (FALSE)))  <->  TRUE)  <->  H (F (FALSE))),No
((F (TRUE)  |  TRUE)  &  G (O (FALSE))),No
Y (),No
(((TRUE  <->  FALSE)  |  TRUE)  S  G ()),No
X ((X ((  |  H (TRUE)))  &  ((!(TRUE)  ->  TRUE)  ->  X (H (FALSE))))),No
(((  <->  TRUE)  &  F (G (FALSE)))  U  ),No
(F (((!(TRUE)  &  TRUE)  ->  O (G (FALSE))))  ->  ((((  U  !(TRUE))  ->  TRUE)  |  O (H (FALSE)))  S  FALSE)),No
((  U  )  ->  ),No
(  ->  ),No
(  S  ),No
H (TRUE),No
G (),No
(((w  S  TRUE)  <->  TRUE)  <->  F (H (FALSE))),No
X (((((!(TRUE)  &  TRUE)  <->  Y (F (FALSE)))  |  FALSE)  U  H ((u  S  TRUE)))),No
(Y ()  ->  ),No
(i  S  TRUE),No
F (),No
(F (TRUE)  S  ),No
(X (TRUE)  &  ),No
ERROR: Formula not generated,No
((O (TRUE)  <->  )  &  ),No
X (((v  S  TRUE)  ->  (n  S  TRUE))),No
((k  S  TRUE)  ->  ),No
(TRUE  &  FALSE),No
(  S  !(TRUE)),No
(H (TRUE)  |  ),No
(H (Y ())  &  (((((X ((!(TRUE)  U  ))  <->  (  U  FALSE))  <->  TRUE)  S  Y ((  S  (TRUE  <->  FALSE))))  U  )  S  FALSE)),No
(((G ()  ->  )  |  TRUE)  &  G (Y (FALSE))),No
((((!(TRUE)  <->  TRUE)  ->  G (H (FALSE)))  <->  TRUE)  &  G (X (FALSE))),No
(!(TRUE)  &  ),No
((  S  )  |  ),No
(((!(TRUE)  ->  )  ->  TRUE)  <->  H (X (FALSE))),No
((O ()  ->  TRUE)  <->  O (Y (FALSE))),No
(F (((  U  ((F ()  <->  TRUE)  U  Y (!(TRUE))))  &  ))  &  ((H (TRUE)  U  )  U  FALSE)),No
((X (((TRUE  |  FALSE)  &  (((u  U  TRUE)  ->  TRUE)  ->  X (X (FALSE)))))  ->  TRUE)  S  X (F (((!(TRUE)  <->  FALSE)  S  X (!(TRUE)))))),No
((x  U  TRUE)  ->  ),No
(((Y (TRUE)  &  FALSE)  |  TRUE)  &  Y (H (FALSE))),No
O (),No
((TRUE  |  FALSE)  S  TRUE),No
(F (((  U  )  ->  ))  &  (F (TRUE)  S  FALSE)),No
F ((X ((((F ()  &  TRUE)  ->  H (G (FALSE)))  ->  Y ()))  <->  G ())),No
(((  U  )  &  )  S  ),No
(G (TRUE)  <->  ),No
(  S  ((x  S  TRUE)  |  )),No
G ((((  U  !(TRUE))  |  )  <->  (((((((  <->  TRUE)  &  G (X (FALSE)))  |  TRUE)  ->  H (O (FALSE)))  U  )  ->  TRUE)  |  F (H (FALSE))))),No
(  ->  ),No
((F ((((G ((  S  (TRUE  <->  FALSE)))  |  (((TRUE  ->  FALSE)  &  )  S  FALSE))  ->  FALSE)  S  G ((  S  !(TRUE)))))  &  TRUE)  U  X ((((O ()  &  TRUE)  &  F (F (FALSE)))  ->  ))),No
(H ()  &  ((TRUE  <->  FALSE)  U  FALSE)),No
(((((((u  U  TRUE)  |  TRUE)  &  G (F (FALSE)))  &  TRUE)  ->  O (G (FALSE)))  <->  TRUE)  |  X (G (FALSE))),No
(((((k  U  TRUE)  &  TRUE)  &  G (H (FALSE)))  <->  TRUE)  |  Y (F (FALSE))),No
((  <->  TRUE)  <->  F (Y (FALSE))),No
((m  U  TRUE)  S  ),No
G ((((((  S  (TRUE  &  FALSE))  |  )  &  TRUE)  ->  H (O (FALSE)))  |  (G ((((F (((x  S  TRUE)  <->  ))  <->  )  ->  TRUE)  &  X (F (FALSE))))  &  (G ()  U  FALSE)))),No
((  <->  TRUE)  &  X (H (FALSE))),No
(  U  H ((((  S  ((X (TRUE)  <->  TRUE)  |  F (X (FALSE))))  |  FALSE)  S  F ((r  S  TRUE))))),No
((H (TRUE)  &  TRUE)  &  F (X (FALSE))),No
(w  U  TRUE),No
(Y ()  |  ),No
F ((((((  S  )  S  )  <->  )  <->  FALSE)  U  O (((  ->  TRUE)  ->  O (G (FALSE)))))),No
((  U  (y  U  TRUE))  |  ),No
O (),No
((TRUE  &  FALSE)  U  ),No
X (((((((v  U  TRUE)  U  )  |  TRUE)  ->  F (H (FALSE)))  <->  FALSE)  U  Y (!(TRUE)))),No
((TRUE  ->  FALSE)  &  ),No
((((!(TRUE)  |  )  |  TRUE)  ->  X (H (FALSE)))  |  ),No
G ((TRUE  U  FALSE)),No
((((!(TRUE)  |  TRUE)  ->  X (Y (FALSE)))  |  TRUE)  ->  O (O (FALSE))),No
Y (),No
((((  U  (  S  ))  |  )  ->  TRUE)  <->  O (O (FALSE))),No
(TRUE  &  FALSE),No
Y (),No
O ((((  U  )  ->  FALSE)  U  F ((i  U  TRUE)))),No
(((G ((H (TRUE)  |  H (TRUE)))  |  TRUE)  <->  O (H (FALSE)))  U  ),No
((  |  )  U  ),No
(b  U  TRUE),No
(  U  F ((((X (TRUE)  <->  TRUE)  U  Y ((l  S  TRUE)))  |  Y ()))),No
(F (TRUE)  U  ),No
